model,size,n_embd,n_layer,lr,batch_size,final_train_ce,final_val_ce,runtime_s,status
mdlm,3M,256,4,0.003,128,2.018036127090454,2.0955491065979004,196.25563073158264,ok
mdlm,3M,256,4,0.01,64,2.2682018280029297,2.2633674144744873,172.26101636886597,ok
mdlm,3M,256,4,0.01,128,2.233727216720581,2.2580466270446777,191.49362182617188,ok
remasked,0.1M,64,2,0.0003,64,3.3130927085876465,3.3513100147247314,153.44965958595276,ok
remasked,0.1M,64,2,0.0003,128,3.311060667037964,3.3531246185302734,146.5747971534729,ok
remasked,0.1M,64,2,0.001,64,3.122807741165161,3.1146790981292725,144.47104001045227,ok
remasked,0.1M,64,2,0.001,128,3.097726345062256,3.0879242420196533,134.55040764808655,ok
remasked,0.1M,64,2,0.003,64,2.8287622928619385,2.8176350593566895,132.73616671562195,ok
remasked,0.1M,64,2,0.003,128,2.818937063217163,2.80391788482666,77.42075204849243,ok
remasked,0.1M,64,2,0.01,64,2.7302846908569336,2.716806411743164,148.10040426254272,ok
remasked,0.1M,64,2,0.01,128,2.6786623001098633,2.667483329772949,96.04566502571106,ok
remasked,0.3M,96,3,0.0003,64,3.10776948928833,3.1012256145477295,109.3804714679718,ok
remasked,0.3M,96,3,0.0003,128,3.071838855743408,3.060399293899536,167.54660367965698,ok
remasked,0.3M,96,3,0.001,64,2.704486608505249,2.689638376235962,126.4072732925415,ok
remasked,0.3M,96,3,0.001,128,2.641669750213623,2.624779462814331,86.2482316493988,ok
remasked,0.3M,96,3,0.003,64,2.4563369750976562,2.4411091804504395,171.8209502696991,ok
remasked,0.3M,96,3,0.003,128,2.3945999145507812,2.38661789894104,178.5808424949646,ok
remasked,0.3M,96,3,0.01,64,2.482240676879883,2.4686055183410645,179.10532355308533,ok
remasked,0.3M,96,3,0.01,128,2.4338173866271973,2.427220582962036,177.4439218044281,ok
remasked,1M,128,5,0.0003,64,2.7042694091796875,2.6867177486419678,189.708016872406,ok
remasked,1M,128,5,0.0003,128,2.6742303371429443,2.660656452178955,204.46243405342102,ok
remasked,1M,128,5,0.001,64,2.4258692264556885,2.4095518589019775,186.7155749797821,ok
remasked,1M,128,5,0.001,128,2.390627861022949,2.379688262939453,212.5146415233612,ok
remasked,1M,128,5,0.003,64,2.339505672454834,2.328545093536377,188.34379148483276,ok
remasked,1M,128,5,0.003,128,2.1905910968780518,2.215261459350586,154.55157589912415,ok
remasked,1M,128,5,0.01,64,2.3751583099365234,2.360546112060547,180.90815091133118,ok
remasked,1M,128,5,0.01,128,2.3978686332702637,2.395233154296875,201.83674573898315,ok
remasked,3M,256,4,0.0003,64,2.341798782348633,2.328096389770508,175.17306280136108,ok
remasked,3M,256,4,0.0003,128,2.3110344409942627,2.3099026679992676,216.58462738990784,ok
remasked,3M,256,4,0.001,64,2.158527135848999,2.174912452697754,199.71023726463318,ok
remasked,3M,256,4,0.001,128,2.098581314086914,2.1472601890563965,219.58724355697632,ok
remasked,3M,256,4,0.003,64,2.138014316558838,2.160173177719116,185.6553659439087,ok
remasked,3M,256,4,0.003,128,2.017446756362915,2.098824977874756,226.32919788360596,ok
remasked,3M,256,4,0.01,64,2.267526149749756,2.262887716293335,192.40087151527405,ok
remasked,3M,256,4,0.01,128,2.169140338897705,2.2087655067443848,208.232830286026,ok
