p_ar,budget,size,n_params,steps,ar_steps,bd_steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,effective_compute_parameters,duration_seconds,result_path
0.2,300000000000000.0,0.02M,22488,9290,1858,7432,0.009,1.9212270379066467,1.9240839540958405,304414720,299994131202048,82123.2,87.26863254513592,results_p_ar/runs/p_ar_0.2/3e14/0.02M/lr_9.0e-03/result.json
0.2,300000000000000.0,0.04M,39968,6439,1288,5151,0.009,1.849601012468338,1.8462374925613403,210993152,299982447968256,118480.32551638453,64.49433656875044,results_p_ar/runs/p_ar_0.2/3e14/0.04M/lr_9.0e-03/result.json
0.2,300000000000000.0,0.1M,114192,2844,569,2275,0.003,1.7628922760486603,1.757725864648819,93192192,299951380758528,268219.3417721519,43.97817062679678,results_p_ar/runs/p_ar_0.2/3e14/0.1M/lr_3.0e-03/result.json
0.2,300000000000000.0,0.2M,205504,1881,376,1505,0.003,1.7397615611553192,1.732752412557602,61636608,299997383884800,405599.57469431154,35.791336722671986,results_p_ar/runs/p_ar_0.2/3e14/0.2M/lr_3.0e-03/result.json
0.2,300000000000000.0,0.4M,393360,1090,218,872,0.003,1.7735010087490082,1.7643186092376708,35717120,299715212083200,699280.0,30.967547620646656,results_p_ar/runs/p_ar_0.2/3e14/0.4M/lr_3.0e-03/result.json
0.2,300000000000000.0,0.8M,781920,593,119,474,0.003,1.874550700187683,1.869550061225891,19431424,299445358952448,1284197.1804384487,27.12876290921122,results_p_ar/runs/p_ar_0.2/3e14/0.8M/lr_3.0e-03/result.json
0.2,300000000000000.0,1.6M,1591680,329,66,263,0.003,2.1037601113319395,2.10091917514801,10780672,299811181953024,2317505.361702128,19.118581175804138,results_p_ar/runs/p_ar_0.2/3e14/1.6M/lr_3.0e-03/result.json
0.2,1000000000000000.0,0.04M,39968,21464,4293,17171,0.027,1.8142227590084077,1.8083278238773346,703332352,999989534785536,118482.33768169959,237.643907379359,results_p_ar/runs/p_ar_0.2/1e15/0.04M/lr_2.7e-02/result.json
0.2,1000000000000000.0,0.1M,114192,9480,1896,7584,0.009,1.691551399230957,1.6787608861923218,310640640,999891086082048,268233.6,150.02887851558626,results_p_ar/runs/p_ar_0.2/1e15/0.1M/lr_9.0e-03/result.json
0.2,1000000000000000.0,0.2M,205504,6270,1254,5016,0.003,1.6532364249229432,1.6414013266563416,205455360,999913433333760,405568.0,120.91380211059004,results_p_ar/runs/p_ar_0.2/1e15/0.2M/lr_3.0e-03/result.json
